csrf attack,ការបង្ខំឱ្យអ្នកប្រើប្រាស់ធ្វើសកម្មភាពណាមួយលើវេបសាយដោយមិនដឹងខ្លួន។
phishing,បច្ចេកទេសបោកបញ្ឆោតដើម្បីលួចយក Username និង Password តាមរយៈ Link ក្លែងក្លាយ។
brute force,ការព្យាយាមទាយពាក្យសម្ងាត់គ្រប់បន្សំទាំងអស់រហូតដល់ត្រូវ។
dictionary attack,ការប្រើប្រាស់បញ្ជីពាក្យសម្ងាត់ដែលមានស្រាប់ដើម្បីទាយរកលេខកូដដែលត្រឹមត្រូវ។
privilege escalation,ការដំឡើងសិទ្ធិពីអ្នកប្រើប្រាស់ធម្មតាទៅជា Root ឬ Administrator។
reverse shell,ការបញ្ជាឱ្យម៉ាស៊ីនគោលដៅតភ្ជាប់មកកាន់ Terminal របស់អ្នកវាយប្រហារ។
bind shell,ការបើក Port លើម៉ាស៊ីនគោលដៅដើម្បីរង់ចាំការតភ្ជាប់ពីអ្នកវាយប្រហារ។
trojan,មេរោគដែលបង្កប់ខ្លួនក្នុងកម្មវិធីល្អៗដើម្បីលួចចូលប្រព័ន្ធកុំព្យូទ័រ។
ransomware,មេរោគដែលចាក់សោរឯកសារដើម្បីទាមទារប្រាក់លោះ។
keylogger,កម្មវិធីដែលលួចកត់ត្រារាល់ការវាយអក្សរលើ Keyboard របស់ជនរងគ្រោះ។
zero-day,ចន្លោះប្រហោងសុវត្ថិភាពដែលទើបរកឃើញ ហើយមិនទាន់មានការជួសជុល (Patch)។
firewall,ប្រព័ន្ធការពារដែលត្រួតពិនិត្យ និងគ្រប់គ្រងចរាចរណ៍ទិន្នន័យចេញចូល Network។
ids,ប្រព័ន្ធសម្រាប់សង្កេត និងផ្តល់ដំណឹងនៅពេលមានការវាយប្រហារ (Intrusion Detection System)។
ips,ប្រព័ន្ធដែលមិនត្រឹមតែសង្កេត តែអាចទប់ស្កាត់ការវាយប្រហារបានភ្លាមៗ (Intrusion Prevention System)។
vpn,បណ្តាញឯកជននិម្មិតដែលជួយលាក់បាំង IP Address និង Encrypt ទិន្នន័យអ៊ីនធឺណិត។
honeypot,ម៉ាស៊ីនក្លែងក្លាយដែលបង្កើតឡើងដើម្បីបញ្ឆោត Hacker ឱ្យចូលអន្ទាក់។
social engineering,ការប្រើប្រាស់ចិត្តសាស្ត្រដើម្បីបោកបញ្ឆោតមនុស្សឱ្យបញ្ចេញព័ត៌មានសម្ងាត់។
denial of service,ការវាយប្រហារដើម្បីធ្វើឱ្យ Server គាំងមិនអាចផ្តល់សេវាកម្មបាន។
ddos,ការប្រើប្រាស់ម៉ាស៊ីនរាប់ពាន់ (Botnet) ដើម្បីវាយប្រហារ Server តែមួយក្នុងពេលតែមួយ។
man in the middle,ការស្ទាក់ចាប់ការសន្ទនារវាងភាគីពីរដោយសម្ងាត់។
encryption,ការបំប្លែងទិន្នន័យឱ្យទៅជាកូដដែលមិនអាចអានបានបើគ្មានសោរជន្លោះ (Key)។
decryption,ការបំប្លែងទិន្នន័យដែលចាក់សោរមកជាទម្រង់ដើមវិញ។
public key,សោរសម្រាប់ចាក់សោរទិន្នន័យដែលអាចឱ្យអ្នករាល់គ្នាដឹងបាន។
private key,សោរសម្រាប់ដោះសោរទិន្នន័យដែលត្រូវរក្សាទុកជាការសម្ងាត់បំផុត។
digital signature,ការបញ្ជាក់អត្តសញ្ញាណលើឯកសារអេឡិចត្រូនិចដើម្បីធានាភាពត្រឹមត្រូវ។
steganography,បច្ចេកទេសលាក់ឯកសារ ឬសារសម្ងាត់នៅក្នុងរូបភាព ឬវីដេអូ។
malware,ពាក្យរួមសម្រាប់ហៅរាល់កម្មវិធីដែលមានបំណងអាក្រក់លើប្រព័ន្ធកុំព្យូទ័រ។
spyware,មេរោគដែលលួចសង្កេត និងប្រមូលព័ត៌មានរបស់អ្នកប្រើប្រាស់ដោយសម្ងាត់។
adware,កម្មវិធីដែលបង្ហាញផ្ទាំងផ្សាយពាណិជ្ជកម្មដែលរំខានដល់អ្នកប្រើប្រាស់។
rootkit,មេរោគដែលលាក់ខ្លួនជ្រៅក្នុង OS ដើម្បីរក្សាការគ្រប់គ្រងលើប្រព័ន្ធ។
backdoor,ច្រកទ្វារសម្ងាត់ដែល Hacker បង្កើតទុកដើម្បីចូលប្រព័ន្ធនៅពេលក្រោយ។
buffer overflow,ការបញ្ចូលទិន្នន័យលើសទំហំចងចាំដើម្បីបង្កឱ្យប្រព័ន្ធគាំង ឬដំណើរការកូដអាក្រក់។
penetration testing,ការធ្វើតេស្តវាយប្រហារប្រព័ន្ធដោយមានការអនុញ្ញាតដើម្បីរកចំណុចខ្សោយ។
ethical hacker,អ្នកជំនាញដែលប្រើចំណេះដឹង Hack ក្នុងផ្លូវល្អដើម្បីពង្រឹងសុវត្ថិភាព។
Question,Answer
ls -la,បង្ហាញបញ្ជីឯកសារទាំងអស់រួមទាំងឯកសារលាក់ (Hidden Files) និងសិទ្ធិប្រើប្រាស់ (Permissions)។
chmod 777,ការផ្តល់សិទ្ធិពេញលេញ (អាន សរសេរ និងដំណើរការ) ដល់អ្នកប្រើប្រាស់គ្រប់រូបលើឯកសារ។
chown root:root,ផ្លាស់ប្តូរម្ចាស់កម្មសិទ្ធិឯកសារឱ្យទៅជា Root User និង Root Group។
ps aux,បង្ហាញរាល់ដំណើរការ (Processes) ទាំងអស់ដែលកំពុងរត់ក្នុងប្រព័ន្ធ Linux។
kill -9,បញ្ឈប់ដំណើរការកម្មវិធីភ្លាមៗតាមរយៈលេខសម្គាល់ PID (Process ID)។
ifconfig eth0 up,បើកដំណើរការ Network Interface សម្រាប់ខ្សែ LAN (Ethernet)។
iwconfig wlan0 mode monitor,ប្តូរ Wi-Fi Adapter ឱ្យទៅជា Monitor Mode ដើម្បីចាប់យក Packets។
ssh-keygen,បង្កើតសោរសម្ងាត់ (Public/Private Keys) សម្រាប់ការចូលប្រើប្រាស់ Server ដោយសុវត្ថិភាព។
scp file.txt user@ip:/path,ផ្ទេរឯកសារដោយសុវត្ថិភាពរវាងម៉ាស៊ីនពីរតាមរយៈ Protocol SSH។
grep -r "text",ស្វែងរកពាក្យ ឬអត្ថបទជាក់លាក់នៅក្នុង Folder និងឯកសាររងទាំងអស់។
find / -name "*.conf",ស្វែងរកឯកសារដែលមានកន្ទុយ .conf ចាប់ពី Root Directory ទៅ។
history -c,លុបប្រវត្តិបញ្ជា (Command History) ទាំងអស់ដែលអ្នកបានវាយក្នុង Terminal។
crontab -e,រៀបចំកាលវិភាគសម្រាប់ឱ្យបញ្ជា ឬ Script ដំណើរការដោយស្វ័យប្រវត្តិ។
df -h,បង្ហាញទំហំផ្ទុកដែលនៅសល់ក្នុង Hard Disk ជាទម្រង់ងាយស្រួលអាន (GB/MB)។
netstat -tulpn,បង្ហាញរាល់ Port ទាំងអស់ដែលកំពុងបើក (Listening) និងកម្មវិធីដែលប្រើវា។
iptables -L,បង្ហាញបញ្ជីច្បាប់ (Rules) របស់ Firewall នៅក្នុងប្រព័ន្ធ Linux។
whois domain.com,ស្វែងរកព័ត៌មានម្ចាស់កម្មសិទ្ធិ និងការចុះឈ្មោះរបស់ឈ្មោះវេបសាយ។
dig domain.com,ឧបករណ៍សម្រាប់សាកសួរព័ត៌មានពី DNS Server លម្អិត។
nslookup,ពិនិត្យមើល IP Address នៃឈ្មោះ Domain ឬ DNS Records។
gobuster dir -u url -w wordlist,ស្វែងរក Folder ឬ Directory ដែលលាក់ទុកនៅលើ Web Server។
dirb url,ឧបករណ៍ស្កេនរក Directory លើវេបសាយដោយប្រើ Wordlist ដើមរបស់វា។
nikto -h url,ស្កេនរកចន្លោះប្រហោងសុវត្ថិភាពទូទៅ និង Configurations ដែលខុសបច្ចេកទេសលើ Web Server។
wafw00f url,ពិនិត្យមើលថាតើវេបសាយមានប្រើប្រាស់ Web Application Firewall (WAF) ដែរឬទេ។
commix -u url,ឧបករណ៍សម្រាប់តេស្តរកចន្លោះប្រហោង Command Injection លើ Web Application។
beef-xss,Framework សម្រាប់គ្រប់គ្រង និងវាយប្រហារតាមរយៈចន្លោះប្រហោង XSS លើ Browser។
ettercap -G,ឧបករណ៍សម្រាប់ធ្វើការវាយប្រហារបែប Man-In-The-Middle (MITM) តាមរយៈ GUI។
bettercap,ឧបករណ៍ជំនាន់ថ្មីសម្រាប់វិភាគ Network និងធ្វើការវាយប្រហារ MITM កម្រិតខ្ពស់។
macchanger -r wlan0,ផ្លាស់ប្តូរលេខ MAC Address របស់ Wi-Fi Card ឱ្យទៅជាលេខចៃដន្យដើម្បីលាក់អត្តសញ្ញាណ។
evil-winrm,ឧបករណ៍សម្រាប់តភ្ជាប់ និងបញ្ជាម៉ាស៊ីន Windows តាមរយៈសេវាកម្ម WinRM។
smbmap -H ip,ស្កេនរកមើលសិទ្ធិចូលប្រើប្រាស់ Shared Folders លើប្រព័ន្ធ Windows (SMB)។
enum4linux,ឧបករណ៍សម្រាប់ប្រមូលព័ត៌មានពីម៉ាស៊ីន Windows និង Samba Systems។
searchsploit,ស្វែងរកកូដវាយប្រហារ (Exploit Code) ពី Database របស់ Exploit-DB ក្នុង Kali។
crunch,ឧបករណ៍សម្រាប់បង្កើតបញ្ជីពាក្យសម្ងាត់ (Wordlist) តាមតម្រូវការសម្រាប់បំបែកលេខកូដ។
cupp -i,ឧបករណ៍បង្កើត Wordlist ដោយផ្អែកលើព័ត៌មានផ្ទាល់ខ្លួនរបស់ជនរងគ្រោះ (Social Engineering)។
steghide extract -sf img.jpg,ដកយកឯកសារសម្ងាត់ដែលលាក់ក្នុងរូបភាព (Steganography)។
exiftool img.jpg,បង្ហាញព័ត៌មានលម្អិត (Metadata) នៃរូបភាពដូចជា ម៉ាកកាមេរ៉ា និងទីតាំង GPS។
nc -lvp 4444,ប្រើ Netcat ដើម្បីបើក Port រង់ចាំការតភ្ជាប់ពី Reverse Shell។
socat,ឧបករណ៍ផ្ទេរទិន្នន័យកម្រិតខ្ពស់ដែលអាចប្រើជំនួស Netcat បានយ៉ាងមានប្រសិទ្ធភាព។
proxychains,ប្រើសម្រាប់រត់បញ្ជាផ្សេងៗតាមរយៈ Proxy ច្រើនជាន់ដើម្បីលាក់ IP ពិតប្រាកដ។
tor,បណ្តាញអ៊ីនធឺណិតអនាមិកដែលជួយលាក់បាំងទីតាំង និងសកម្មភាពរបស់អ្នកប្រើប្រាស់។
shodan,សេវាកម្មស្វែងរកឧបករណ៍ដែលតភ្ជាប់នឹងអ៊ីនធឺណិត (IoT, Servers, Cameras)។
theharvester,ប្រមូល Email, Subdomains និងឈ្មោះបុគ្គលិកពីប្រភពទិន្នន័យសាធារណៈ។
maltego,ឧបករណ៍វិភាគទំនាក់ទំនងទិន្នន័យ និងប្រមូលព័ត៌មាន (OSINT) បែបក្រាហ្វិក។
wireshark filter: tcp.port==80,បង្ហាញតែចរាចរណ៍ទិន្នន័យដែលឆ្លងកាត់ Port 80 (HTTP) ប៉ុណ្ណោះ។
arp-scan -l,ស្កេនរកឧបករណ៍ទាំងអស់ដែលស្ថិតក្នុងបណ្តាញ Local Network តែមួយ។
hping3 -S -p 80 ip,ផ្ញើកញ្ចប់ទិន្នន័យ SYN ទៅកាន់ Port 80 ដើម្បីតេស្ត Firewall ឬធ្វើ DoS។
wget -m url,បង្កើតច្បាប់ចម្លង (Mirror) នៃវេបសាយទាំងមូលមកទុកក្នុងម៉ាស៊ីន។
curl -I url,បង្ហាញតែព័ត៌មាន Header របស់វេបសាយដោយមិនបង្ហាញខ្លឹមសារ HTML។
cat /etc/passwd,បង្ហាញបញ្ជីអ្នកប្រើប្រាស់ទាំងអស់ដែលមាននៅក្នុងប្រព័ន្ធ Linux។
sudo su,ប្តូរទៅប្រើប្រាស់សិទ្ធិជា Super User (Root) ទាំងស្រុង។
